Lookback,train_rmse,valid_rmse,test_rmse,train_mae,valid_mae,test_mae,samples,input_dim,epochs_trained
1,5.704573606693114,7.57814211499356,7.057722247925135,4.513010501861572,6.383669853210449,5.996378421783447,1034.0,6.0,29.0
2,5.650939640466038,7.571673669472451,7.088068497613117,4.3759589195251465,6.428884029388428,6.043641567230225,1033.0,12.0,35.0
3,5.619971676955345,7.574007972747338,7.096167870738898,4.3562798500061035,6.45366096496582,5.985129356384277,1032.0,18.0,35.0
4,5.637220882433449,7.586836568117711,7.214872301310589,4.472960472106934,6.564874649047852,6.172358989715576,1031.0,24.0,32.0
5,5.7693672750902945,7.624716331333303,7.04354746001851,4.618932247161865,6.593503952026367,6.109630584716797,1030.0,30.0,27.0
6,5.692314709046415,7.604946343849,7.103801579943449,4.523757457733154,6.618254661560059,6.073421001434326,1029.0,36.0,29.0
7,5.795846359417463,7.62897350400783,7.110955031324522,4.747718334197998,6.6934733390808105,6.213204383850098,1028.0,42.0,25.0
