TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS
4/22/2023,25.04,28.75,28.36,82,8.28,12.78
4/23/2023,25.25,29.22,28.81,78,1.71,21.59
4/24/2023,24.31,29.36,28.88,79,7.76,20.61
4/25/2023,24.09,28.6,28.39,81,8888,6.65
4/26/2023,25.25,29.49,28.86,76,1.21,23.06
4/27/2023,25.34,29.52,28.92,80,2.31,20.89
4/28/2023,26.19,29.11,28.72,83,8888,20.08
4/29/2023,26.01,28.69,28.27,82,6.15,16.66
4/30/2023,24.77,28.17,27.96,83,7.06,10.53
5/1/2023,24.73,28.76,28.33,80,4.25,20.59
5/2/2023,24.35,29.18,28.71,79,1.13,9.82
5/3/2023,24.11,29,28.55,81,1.26,21.25
5/4/2023,,29.31,28.76,82,0,21.52
5/5/2023,26.67,29.35,28.93,82,2.45,18.22
5/6/2023,26.27,29.32,28.61,85,5.36,13.41
5/7/2023,24.05,29.09,28.51,85,8.11,15.09
5/8/2023,24.64,29.06,28.38,81,6.56,5.08
5/9/2023,24.86,28.84,28.39,80,7.59,13.9
5/10/2023,25.65,28.74,28.16,81,8.01,10.21
5/11/2023,,29.61,28.93,78,8888,21.59
5/12/2023,,29.44,28.94,84,6.96,21.23
5/13/2023,25.02,29.57,28.86,85,7.41,20.28
5/14/2023,24.35,28.83,28.5,84,8.43,11.87
5/15/2023,25.74,28.74,28.31,83,6.16,17.46
5/16/2023,25.79,28.36,28.04,85,8888,8.82
5/17/2023,26.49,28.54,28.05,80,6.69,14.75
5/18/2023,24.04,28.75,28.33,84,8.41,13.64
5/19/2023,26.53,28.12,27.87,85,7.32,12.44
5/20/2023,26.63,28.47,28.05,83,2.18,20.77
5/21/2023,26.77,28.62,28.17,85,3.51,19.89
5/22/2023,26.68,28.4,28.05,84,8888,14.74
5/23/2023,26.81,28.57,28.14,84,8888,18.58
5/24/2023,26.68,28.11,27.85,87,11.96,11.66
5/25/2023,24.5,28.5,27.96,85,8.5,21.02
5/26/2023,24.7,28.35,27.94,86,5.9,11.32
5/27/2023,24.28,28.6,27.98,87,3.51,19.47
5/28/2023,25,28.66,28.28,86,2.9,16.53
5/29/2023,25.13,29.07,28.51,84,0.86,18.1
5/30/2023,25.27,29.08,28.55,83,1.62,20.25
5/31/2023,24.1,29.02,28.48,84,2.3,20.54
6/1/2023,24.91,28.37,28.18,89,4.23,18.83
6/2/2023,24.14,28.94,28.51,87,3.08,20.23
6/3/2023,26.15,28.7,28.4,87,8888,19.02
6/4/2023,26.92,28.48,28.18,86,8888,16.63
6/5/2023,26.15,27.83,27.47,89,8888,7.04
6/6/2023,26.95,28.05,27.59,87,9.14,20.19
6/7/2023,25.56,28.07,27.84,85,13.2,15.84
6/8/2023,25.65,28.78,28.18,82,4.36,17.59
6/9/2023,24.53,28.45,27.93,84,0,20.19
6/10/2023,24.61,28.61,28.08,85,4.84,18.41
6/11/2023,25.67,28.74,28.22,86,0,19.51
6/12/2023,25.62,28.16,27.9,86,5.89,14.42
6/13/2023,25.62,28.41,28.02,82,6.23,12.76
6/14/2023,25.54,28.38,27.8,82,8888,14.81
6/15/2023,25.12,27.99,27.52,83,8888,12.89
6/16/2023,26.97,27.91,27.46,83,8888,15.26
6/17/2023,26.06,27.59,27.27,83,5.69,5.72
6/18/2023,,28.14,27.65,81,7.13,12.25
6/19/2023,24.03,27.82,27.52,80,5.85,15.58
6/20/2023,26.52,27.57,26.85,85,14.49,4.55
6/21/2023,26.19,28.29,27.79,80,0.97,16.41
6/22/2023,24.29,28.24,27.73,83,1.13,21.3
6/23/2023,,28.51,27.85,82,0.31,19.87
6/24/2023,24.47,28.43,27.94,86,0,19.4
6/25/2023,24.48,28.5,27.97,85,3.13,17.17
6/26/2023,24.37,28.22,27.82,85,2.28,16.94
6/27/2023,24.56,28.19,27.93,85,6.46,13.59
6/28/2023,25.29,28.04,27.72,83,3.43,18.89
6/29/2023,24.44,28.22,27.83,84,3.13,19.84
6/30/2023,26.55,28.34,28.02,81,3.59,10.77
7/1/2023,26.7,28.67,28.19,81,0,20.12
7/2/2023,26.69,28.32,28.01,82,4.72,15.25
7/3/2023,26.64,27.78,27.21,86,12.92,5.56
7/4/2023,26.77,28.11,27.53,80,4.52,13.53
7/5/2023,24.71,28.59,28.06,78,1.78,17.04
7/6/2023,25.48,28.3,27.84,82,5.91,16.69
7/7/2023,26.78,27.79,27.41,83,8.59,12.45
7/8/2023,26.55,27.58,26.75,84,15.28,12
7/9/2023,26.89,28.01,27.59,80,1.61,18.75
7/10/2023,24.26,28.48,27.96,82,0.86,19.72
7/11/2023,24.95,28.94,28.38,81,0.39,18.1
7/12/2023,24.34,28.14,27.81,85,0,17.62
7/13/2023,26.84,27.54,27.08,86,0,9.4
7/14/2023,26.09,27.69,26.96,86,0,17.09
7/15/2023,26.96,28.16,27.52,84,0,10.79
7/16/2023,26.56,27.36,27,89,0,10.85
7/17/2023,26.82,28.16,27.56,85,0,16.85
7/18/2023,25.23,28.4,27.81,83,0,14.25
7/19/2023,25.47,28.17,27.83,85,2.68,16.18
7/20/2023,25.52,28.55,27.95,85,3.52,16.52
7/21/2023,25.16,27.74,27.4,87,9.81,12.38
7/22/2023,25.07,28.29,27.66,84,1.31,18.02
7/23/2023,,,,84,8888,17.5
7/24/2023,26.88,28.25,27.62,84,1.09,19.09
7/25/2023,24.33,28.47,27.79,82,0.14,19.8
7/26/2023,24.27,28.42,27.71,82,0.07,21.21
7/27/2023,26.99,28.17,27.54,82,0.1,21.74
7/28/2023,26.81,28.15,27.46,82,0.02,21.48
7/29/2023,26.88,28.12,27.39,82,8888,22.58
7/30/2023,26.6,28.01,27.31,84,0.18,20.85
7/31/2023,26.78,28.17,27.47,84,0.25,19.31
8/1/2023,26.92,28.35,27.65,86,8888,19.33
8/2/2023,26.35,28.49,27.9,85,8888,22.17
8/3/2023,26.8,27.82,27.38,84,8888,22.11
8/4/2023,26.09,27.92,27.5,85,8888,22.53
8/5/2023,26.99,28.12,27.54,87,6.63,16.42
8/6/2023,25.22,28.13,27.64,85,3.37,21.85
8/7/2023,25.32,28.3,27.68,82,1.88,20.38
8/8/2023,25.13,28.32,27.63,82,0.37,22.46
8/9/2023,26.99,28.2,27.53,81,8888,20.74
8/10/2023,24.07,28.31,27.5,83,0.67,20.74
8/11/2023,24.03,28.01,27.43,83,1.37,19.13
8/12/2023,26.63,27.66,27.14,83,0.29,20.41
8/13/2023,26.79,28.19,27.46,80,8888,20.59
8/14/2023,25.06,28.22,27.52,82,0.04,19.75
8/15/2023,26.94,28.48,27.65,84,0.11,18.29
8/16/2023,26.94,27.99,27.42,84,0.28,19.37
8/17/2023,26.88,28.08,27.46,84,0.27,22.16
8/18/2023,26.02,28.16,27.53,83,0,19.48
8/19/2023,25.1,28.36,27.65,83,0.34,20.82
8/20/2023,25.14,28.73,27.92,81,0.25,22.4
8/21/2023,24.57,28.68,27.93,80,0.24,21.39
8/22/2023,24.35,28.77,27.88,80,0.33,20.59
8/23/2023,24.14,28.38,27.71,83,1.76,14.21
8/24/2023,26.98,27.91,27.46,86,8888,18.57
8/25/2023,25.17,28.02,27.5,85,25.3,19
8/26/2023,25.03,28.34,27.61,84,2.72,16.07
8/27/2023,26.91,28.66,27.78,82,2.03,23.57
8/28/2023,26.91,28.33,27.62,82,1.14,22.55
8/29/2023,24.09,28.6,27.79,81,0.07,23.91
8/30/2023,26.79,28.53,27.59,82,0,21.96
8/31/2023,26.76,28.59,27.62,83,0,21.96
9/1/2023,25.08,28.15,27.57,83,0,20.21
9/2/2023,26.72,28.3,27.44,78,0,22.77
9/3/2023,26.86,28.35,27.46,79,0.01,21.26
9/4/2023,26.68,28.57,27.57,80,0.01,22.9
9/5/2023,26.84,28.62,27.69,84,0.79,20.84
9/6/2023,26.13,28.31,27.67,85,2.95,18.28
9/7/2023,26.44,28.81,27.99,82,1.13,18.91
9/8/2023,26.05,28.34,27.66,83,1.19,20.52
9/9/2023,24.21,28.34,27.65,81,0.62,20.18
9/10/2023,24.05,28.27,27.65,84,1.72,21.71
9/11/2023,24.1,28.64,27.74,83,8.27,14.2
9/12/2023,26.17,26.91,26.47,85,0,14.41
9/13/2023,26.61,27.69,27.28,79,3.95,18.76
9/14/2023,25.08,28.83,27.82,82,1.38,16.91
9/15/2023,26.79,28.46,27.68,84,2.71,20.05
9/16/2023,25.18,28.25,27.7,84,1.82,17.4
9/17/2023,26.9,27.96,27.36,87,2.94,15.27
9/18/2023,26.74,28.18,27.47,86,8888,20.36
9/19/2023,24.39,27.99,27.66,84,3.18,16.91
9/20/2023,24.47,28.73,28.02,82,0.98,20.59
9/21/2023,24.52,28.99,28.1,82,0.54,23.17
9/22/2023,24.32,28.92,27.99,79,8888,22.65
9/23/2023,24.03,28.54,27.75,81,0.04,20.54
9/24/2023,26.14,28.72,27.85,83,0.12,23.47
9/25/2023,26.97,28.61,27.75,84,0.07,24.28
9/26/2023,26.04,28.92,27.87,80,0.01,23.73
9/27/2023,26.03,28.95,27.84,80,8888,24.03
9/28/2023,26.94,28.75,27.81,82,0.6,23.43
9/29/2023,24.2,28.79,27.88,83,2.05,22.66
9/30/2023,24.37,28.75,27.97,82,0.65,18.69
10/1/2023,24.38,28.77,27.96,81,0.3,15.89
10/2/2023,24.33,28.73,27.95,82,0.22,20.95
10/3/2023,25.45,28.79,28.01,83,8888,20.05
10/4/2023,25.51,28.74,28.06,83,1.82,20.12
10/5/2023,25.38,28.76,28.11,81,2.6,22.69
10/6/2023,24.84,28.91,28.35,81,7.72,21.32
10/7/2023,24.58,29.07,28.29,83,8.13,22.66
10/8/2023,24.58,28.58,28.1,81,7.47,21.53
10/9/2023,25.74,29.43,28.6,80,8888,20.31
10/10/2023,25.06,29.2,28.53,82,3.28,22.21
10/11/2023,26.69,29.03,28.41,81,0.74,21.43
10/12/2023,25.52,28.98,28.36,81,1.73,20.29
10/13/2023,25.74,29.21,28.4,82,2.5,22.51
10/14/2023,26.71,29.05,28.46,79,2.58,16.11
10/15/2023,26.98,28.75,28.31,81,8888,19.63
10/16/2023,26.51,28.06,27.81,85,8.5,19.2
10/17/2023,24.46,28.44,28.01,83,9.85,18.86
10/18/2023,24.64,28.52,28.12,83,12.17,8.2
10/19/2023,24.68,28.84,28.28,80,5.05,17.63
10/20/2023,25.71,29.07,28.4,79,2.15,17.17
10/21/2023,25.82,28.88,28.34,79,2.18,20.81
10/22/2023,25.87,28.87,28.42,77,4.02,16.77
10/23/2023,24.17,28.73,28.38,77,2.34,17.83
10/24/2023,24.87,28.8,28.33,79,2.91,19.04
10/25/2023,,,,82,8888,24.17
10/26/2023,,,,82,8888,22.41
10/27/2023,26.83,28.65,28.2,80,0.8,22.46
10/28/2023,26.3,28.71,28.18,78,1,23.25
10/29/2023,26.88,29.57,28.88,72,0.34,23.23
10/30/2023,26.18,29.61,28.99,75,0.63,22.88
10/31/2023,24.3,29.62,28.92,77,0.57,22.38
11/1/2023,24.49,29.44,28.91,76,1.54,21.01
11/2/2023,24.37,28.84,28.63,79,7.49,17.34
11/3/2023,24.08,29.17,28.69,76,2.67,16.04
11/4/2023,24.9,28.87,28.34,75,0,5.91
11/5/2023,25.1,29.99,28.97,74,0.67,24.1
11/6/2023,25.39,29.4,28.85,78,1.9,20.23
11/7/2023,25.31,28.84,28.51,81,0,15.68
11/8/2023,24.42,29.4,28.96,78,0,19.75
11/9/2023,24.59,29.19,28.9,78,0,8.42
11/10/2023,24.73,29.65,28.71,77,0,22.68
11/11/2023,25,29.43,28.71,79,0,12.69
11/12/2023,25.58,29.05,28.42,79,4.34,21.82
11/13/2023,24.37,28.71,28.56,77,4.21,15.23
11/14/2023,24.27,29.53,28.82,78,1.23,23.21
11/15/2023,26.19,29.78,29.03,79,8888,22.06
11/16/2023,26.73,29.58,29.18,78,4.81,16.18
11/17/2023,26.42,29.52,28.92,79,0,20.89
11/18/2023,26.35,28.96,28.63,81,1.95,12.37
